gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK
196,-485,49.125,-121.125,11,2,15.0,8,7,True,0.08874458874458875,0.034482758620689655,0.0616136736826392,0.023809523809523808,0.875,4.605
196,-484,49.125,-120.875,88,1,20.64285714285714,46,10,True,0.00900974025974026,0.0,0.00450487012987013,0.20714285714285716,0.21739130434782608,1.89
196,-483,49.125,-120.625,3,9,3.0,1,1,True,0.33174603174603173,0.27586206896551724,0.3038040503557745,0.004761904761904762,1.0,
196,-480,49.125,-119.875,10,9,32.0,5,2,True,0.09785714285714286,0.27586206896551724,0.18685960591133005,0.02142857142857143,0.4,2.0
196,-479,49.125,-119.625,141,1,24.38095238095238,138,29,True,0.004728132387706856,0.0,0.002364066193853428,0.3333333333333333,0.21014492753623187,2.295
196,-478,49.125,-119.375,80,1,48.28571428571428,37,7,True,0.010148809523809523,0.0,0.005074404761904762,0.1880952380952381,0.1891891891891892,1.185
196,-477,49.125,-119.125,6,23,8.0,9,6,True,0.16468253968253968,0.7586206896551724,0.461651614668856,0.011904761904761904,0.6666666666666666,3.98
196,-476,49.125,-118.875,50,2,36.099999999999994,14,3,True,0.017666666666666667,0.034482758620689655,0.02607471264367816,0.11666666666666667,0.21428571428571427,1.1
196,-474,49.125,-118.375,4,2,2.0,5,3,True,0.24821428571428572,0.034482758620689655,0.1413485221674877,0.007142857142857143,0.6,3.0
196,-472,49.125,-117.875,1,2,0.0,0,0,False,1.0,0.034482758620689655,0.5172413793103449,0.0,,
196,-471,49.125,-117.625,2,8,1.0,13,8,True,0.4988095238095238,0.2413793103448276,0.3700944170771757,0.002380952380952381,0.6153846153846154,4.045
196,-469,49.125,-117.125,3,1,3.0,3,3,True,0.33174603174603173,0.0,0.16587301587301587,0.004761904761904762,1.0,
196,-468,49.125,-116.875,1,6,0.0,4,4,True,1.0,0.1724137931034483,0.5862068965517242,0.0,1.0,
196,-467,49.125,-116.625,10,7,32.0,8,8,True,0.09785714285714286,0.20689655172413793,0.15237684729064038,0.02142857142857143,1.0,5.0
196,-466,49.125,-116.375,1,14,0.0,1,1,True,1.0,0.4482758620689655,0.7241379310344828,0.0,1.0,
196,-465,49.125,-116.125,2,16,1.0,6,3,True,0.4988095238095238,0.5172413793103449,0.5080254515599343,0.002380952380952381,0.5,2.85
196,-462,49.125,-115.375,2,6,1.0,0,0,False,0.4988095238095238,0.1724137931034483,0.33561165845648605,0.002380952380952381,,
196,-461,49.125,-115.125,4,4,2.0,2,1,True,0.24821428571428572,0.10344827586206896,0.17583128078817734,0.007142857142857143,0.5,
196,-460,49.125,-114.875,1,4,0.0,0,0,False,1.0,0.10344827586206896,0.5517241379310345,0.0,,
196,-457,49.125,-114.125,75,1,8.166666666666664,42,12,True,0.010984126984126985,0.0,0.0054920634920634925,0.1761904761904762,0.2857142857142857,2.34
197,-504,49.375,-125.875,1,30,0.0,0,0,False,1.0,1.0,1.0,0.0,,
197,-502,49.375,-125.375,2,6,0.0,1,1,True,0.4988095238095238,0.1724137931034483,0.33561165845648605,0.002380952380952381,1.0,
197,-500,49.375,-124.875,4,3,6.0,17,12,True,0.24821428571428572,0.06896551724137931,0.15858990147783253,0.007142857142857143,0.7058823529411765,4.415
197,-499,49.375,-124.625,23,1,42.25,13,5,True,0.04120082815734989,0.0,0.020600414078674946,0.05238095238095238,0.38461538461538464,1.965
197,-498,49.375,-124.375,21,1,49.0,90,41,True,0.045351473922902494,0.0,0.022675736961451247,0.047619047619047616,0.45555555555555555,4.005
197,-497,49.375,-124.125,4,1,6.0,4,4,True,0.24821428571428572,0.0,0.12410714285714286,0.007142857142857143,1.0,
197,-496,49.375,-123.875,5,1,10.0,4,3,True,0.1980952380952381,0.0,0.09904761904761905,0.009523809523809525,0.75,
197,-495,49.375,-123.625,10,2,45.0,20,16,True,0.09785714285714286,0.034482758620689655,0.06616995073891627,0.02142857142857143,0.8,4.695
197,-494,49.375,-123.375,73,1,22.5625,110,32,True,0.011350293542074362,0.0,0.005675146771037181,0.17142857142857143,0.2909090909090909,2.21
197,-493,49.375,-123.125,421,1,18.375,415,33,True,0.0,0.0,0.0,1.0,0.07951807228915662,0.82
197,-492,49.375,-122.875,120,1,32.0,86,20,True,0.005972222222222222,0.0,0.002986111111111111,0.2833333333333333,0.23255813953488372,1.745
197,-491,49.375,-122.625,56,1,29.388888888888886,58,17,True,0.015518707482993195,0.0,0.007759353741496598,0.13095238095238096,0.29310344827586204,2.615
197,-490,49.375,-122.375,4,2,6.0,1,1,True,0.24821428571428572,0.034482758620689655,0.1413485221674877,0.007142857142857143,1.0,
197,-489,49.375,-122.125,2,3,1.0,1,1,True,0.4988095238095238,0.06896551724137931,0.2838875205254516,0.002380952380952381,1.0,
197,-488,49.375,-121.875,13,7,60.5,27,19,True,0.07472527472527474,0.20689655172413793,0.14081091322470635,0.02857142857142857,0.7037037037037037,3.79
197,-487,49.375,-121.625,2,1,1.0,0,0,False,0.4988095238095238,0.0,0.2494047619047619,0.002380952380952381,,
197,-486,49.375,-121.375,4,8,6.0,4,2,True,0.24821428571428572,0.2413793103448276,0.24479679802955667,0.007142857142857143,0.5,
