gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
200,-502,50.125,-125.375,11,6,12.25,37,8,True,0.08577298407806883,0.1724137931034483,0.12909338859075856,0.05649717514124294,0.21621621621621623,1.67,0.22227244537559673,0.13309727267999805
200,-501,50.125,-125.125,22,1,16.666666666666668,30,4,True,0.040061633281972264,0.0,0.020030816640986132,0.11864406779661017,0.13333333333333333,0.755,0.09154001605087428,0.1212450543720189
200,-493,50.125,-123.125,2,19,1.0,4,2,True,0.4971751412429378,0.6206896551724138,0.5589323982076758,0.005649717514124294,0.5,,,
200,-492,50.125,-122.875,20,2,0.25,50,3,True,0.04463276836158193,0.034482758620689655,0.039557763491135794,0.10734463276836158,0.06,0.605,0.030710332042339597,0.05076087940882578
200,-487,50.125,-121.625,1,30,0.0,0,0,False,1.0,1.0,1.0,0.0,,,,
200,-486,50.125,-121.375,1,28,0.0,0,0,False,1.0,0.9310344827586207,0.9655172413793103,0.0,,,,
200,-485,50.125,-121.125,1,7,0.0,0,0,False,1.0,0.20689655172413793,0.603448275862069,0.0,,,,
200,-484,50.125,-120.875,9,8,8.0,0,0,False,0.10608913998744507,0.2413793103448276,0.17373422516613635,0.04519774011299435,,,,
200,-483,50.125,-120.625,3,13,3.0,6,2,True,0.3295668549905838,0.41379310344827586,0.37167997921942986,0.011299435028248588,0.3333333333333333,1.84,0.038744081338844306,0.02105656594502408
200,-479,50.125,-119.625,2,15,1.0,2,1,True,0.4971751412429378,0.4827586206896552,0.4899668809662965,0.005649717514124294,0.5,,,
200,-478,50.125,-119.375,16,1,3.0,12,1,True,0.057203389830508475,0.0,0.028601694915254237,0.0847457627118644,0.08333333333333333,0.37,0.12120500370372456,0.32758109109114747
200,-477,50.125,-119.125,9,4,1.0,0,0,False,0.10608913998744507,0.10344827586206896,0.10476870792475701,0.04519774011299435,,,,
200,-472,50.125,-117.875,1,14,0.0,0,0,False,1.0,0.4482758620689655,0.7241379310344828,0.0,,,,
200,-470,50.125,-117.375,1,12,0.0,0,0,False,1.0,0.3793103448275862,0.6896551724137931,0.0,,,,
200,-469,50.125,-117.125,1,2,0.0,3,3,True,1.0,0.034482758620689655,0.5172413793103449,0.0,1.0,,,
200,-468,50.125,-116.875,3,1,3.0,1,1,True,0.3295668549905838,0.0,0.1647834274952919,0.011299435028248588,1.0,,,
200,-464,50.125,-115.875,5,7,0.25,0,0,False,0.19548022598870057,0.20689655172413793,0.20118838885641926,0.022598870056497175,,,,
200,-461,50.125,-115.125,1,13,0.0,0,0,False,1.0,0.41379310344827586,0.7068965517241379,0.0,,,,
200,-459,50.125,-114.625,2,17,0.0,0,0,False,0.4971751412429378,0.5517241379310345,0.5244496395869862,0.005649717514124294,,,,
200,-457,50.125,-114.125,1,30,0.0,1,1,True,1.0,1.0,1.0,0.0,1.0,,,
201,-507,50.375,-126.625,29,6,0.5,1,1,True,0.02902785895187999,0.1724137931034483,0.10072082602766413,0.15819209039548024,1.0,,,
201,-506,50.375,-126.375,2,7,1.0,1,1,True,0.4971751412429378,0.20689655172413793,0.35203584648353786,0.005649717514124294,1.0,,,
201,-503,50.375,-125.625,1,3,0.0,1,1,True,1.0,0.06896551724137931,0.5344827586206896,0.0,1.0,,,
201,-502,50.375,-125.375,1,30,0.0,3,2,True,1.0,1.0,1.0,0.0,0.6666666666666666,,,
