gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,o_discover,o_staleness,o_conservation,travel_min,o_env_coverage,o_urgency,rare_newK,w_newK,meanrarity_newK
197,-496,49.375,-123.875,2,13,1.0,5,3,True,0.4987684729064039,0.3,0.399384236453202,0.0024630541871921183,0.6,0.4987684729064039,0.3,0.507672469374597,,0.3092991112016613,0.006241670343150525,3.0,0.9168158522015777,0.30560528406719256
197,-495,49.375,-123.625,1,18,0.0,21,15,True,1.0,0.425,0.7125,0.0,0.7142857142857143,1.0,0.425,0.04688995215311004,,0.18595500235691806,0.03693823139073929,4.695,0.35175501537858317,0.07492119603377703
197,-494,49.375,-123.375,11,9,12.25,44,22,True,0.08866995073891625,0.2,0.14433497536945813,0.024630541871921183,0.5,0.08866995073891625,0.2,0.25536537040368457,22.0,0.043363359181102096,0.011014084287473452,3.67,0.7918478912906421,0.21576236819908506
197,-493,49.375,-123.125,64,1,26.450000000000003,433,145,True,0.013200431034482759,0.0,0.0066002155172413795,0.15517241379310345,0.3348729792147806,0.013200431034482759,0.0,0.27304799649844524,20.0,0.02011398370096964,0.01704037876235703,3.775,1.453238474854349,0.38496383439850307
197,-492,49.375,-122.875,50,1,264.5,219,83,True,0.017586206896551725,0.0,0.008793103448275863,0.1206896551724138,0.3789954337899543,0.017586206896551725,0.0,0.2845227562716207,,0.048215360554351,0.006435722945494027,4.01,1.2240595400387475,0.3052517556206353
197,-491,49.375,-122.625,13,3,3.0,50,26,True,0.07464948844259188,0.05,0.06232474422129594,0.029556650246305417,0.52,0.07464948844259188,0.05,0.038103927290101085,74.0,0.06982624772154326,0.040552731080635056,3.42,0.7530112172000102,0.22017871847953516
197,-490,49.375,-122.375,8,1,10.0,51,17,True,0.12284482758620689,0.0,0.061422413793103446,0.017241379310344827,0.3333333333333333,0.12284482758620689,0.0,0.030339753388842962,225.0,0.03559335506426352,0.030852233922506474,3.175,0.48126294850091256,0.15157888141761025
197,-488,49.375,-121.875,2,24,0.0,4,3,True,0.4987684729064039,0.575,0.5368842364532019,0.0024630541871921183,0.75,0.4987684729064039,0.575,0.0,78.0,0.07015199472371914,0.13556174552121583,,,
197,-487,49.375,-121.625,7,9,3.0,3,2,True,0.14074595355383532,0.2,0.17037297677691765,0.014778325123152709,0.6666666666666666,0.14074595355383532,0.2,0.08653351698806243,44.0,0.16027311605386269,0.1233939966428894,,,
197,-483,49.375,-120.625,1,12,0.0,0,0,False,1.0,0.275,0.6375,0.0,,1.0,0.275,0.029870129870129866,127.0,0.26347823576062135,0.20513067143038122,,,
197,-480,49.375,-119.875,1,18,0.0,3,3,True,1.0,0.425,0.7125,0.0,1.0,1.0,0.425,0.027474747474747475,212.0,0.21467442425034006,0.2481549100893872,,,
197,-479,49.375,-119.625,1,30,0.0,62,33,True,1.0,0.725,0.8625,0.0,0.532258064516129,1.0,0.725,0.24545454545454545,184.0,0.5416470317660735,0.09199586236809357,4.375,1.997099596911673,0.4564799078655252
